feature,importance
Job_opportunity,0.07534262907227722
Absenteism,0.05789950311310657
Lack_of_School_Fees,0.05770268353699065
Lack_of_School_Material,0.057457047567617776
Drug_abuse,0.05455521491948684
Performance_41-50,0.05075434026290712
Bad_Discipline,0.050617998903152224
Family_conflicts,0.048226716827577655
Performance_71-100,0.04730205484652021
Illness,0.04433696404786064
Lack_of_motivation,0.04346838666530859
Social_activity_Other,0.04071676110866437
Performance_51-60,0.0389020804095169
Performance_61-70,0.03790636459606649
Social_activity_Dance,0.0370871912796992
